时间戳记,What is your current role at the university? ,How do you usually travel to campus? (Select all that apply)  ,"If there was a campus-only carpooling platform, would you use it?  ","In a carpooling system, which role would you prefer?  ",Do you often face difficulty finding a parking spot on campus?  ,"If the system allows users to log in using Student ID and password, how would you feel? ","If the system does not allow users to log in using Student ID and password, how would you feel? ","If the system allows users to report illegitimate parking, how would you feel?  ","If the system does not allow users to report illegitimate parking, how would you feel?  ","If the system allows riders to book a ride with a faculty member, how would you feel?  ","If the system does not allow riders to book a ride with a faculty member, how would you feel?  ","If the system allows drivers to override or empty a reserved parking spot, how would you feel?  ","If the system does not allow drivers to override or empty a reserved parking spot, how would you feel?  ","If the system allow drivers to view available parking spaces and car plate details, how would you feel?  ","If the system does not allows drivers to view available parking spaces and car plate details, how would you feel?  ","If the system provides an interactive school map with zooming capability for drivers, how would you feel?  ","If the system does not provide an interactive school map with zooming capability for drivers, how would you feel?  ","If the system allows drivers to accept or decline carpooling requests, how would you feel?  ","If the system does not allow drivers to accept or decline carpooling requests, how would you feel?  ","If the system allows admins to log in using their Admin ID and password, how would you feel?  ","If the system does not allow admins to log in using their Admin ID and password, how would you feel?  ","If the system allows admins to view reported parking violations, how would you feel?  ","If the system does not allow admins to view reported parking violations, how would you feel?  ","If the system allows admins to view car owner information, how would you feel?  ","If the system does not allow admins to view car owner information, how would you feel?  "
2025/05/13 12:21:12 下午 GMT+8,Staff/Faculty,Drive myself,Yes,Both,Frequently,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it
2025/05/13 12:24:04 下午 GMT+8,Student,Walking / Cycling,Maybe,Passenger,Not applicable (I don't drive),I expect it,I dislike it,I like it,I dislike it,I expect it,I dislike it,I like it,I can tolerate it,I like it,I can tolerate it,I like it,I dislike it,I expect it,I dislike it,I expect it,I dislike it,I expect it,I can tolerate it,I am neutral,I can tolerate it
2025/05/13 12:30:53 下午 GMT+8,Staff/Faculty,Public transport,Yes,Passenger,Not applicable (I don't drive),I expect it,I dislike it,I like it,I dislike it,I expect it,I dislike it,I expect it,I dislike it,I like it,I can tolerate it,I like it,I can tolerate it,I like it,I dislike it,I like it,I dislike it,I expect it,I dislike it,I expect it,I dislike it
2025/05/13 12:32:36 下午 GMT+8,Student,Walking / Cycling,Yes,Passenger,Not applicable (I don't drive),I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it
2025/05/13 12:33:14 下午 GMT+8,Student,Drive myself,Yes,Driver,Frequently,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it
2025/05/13 12:33:51 下午 GMT+8,Student,Drive myself,Yes,Driver,Frequently,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it
2025/05/13 12:34:52 下午 GMT+8,Student,Drive myself,Yes,Driver,Frequently,I expect it,I dislike it,I expect it,I dislike it,I like it,I dislike it,I expect it,I dislike it,I expect it,I can tolerate it,I like it,I can tolerate it,I expect it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it
2025/05/13 1:22:52 下午 GMT+8,Student,Drive myself,No,I wouldn't use it,Frequently,I dislike it,I dislike it,I like it,I dislike it,I am neutral,I am neutral,I expect it,I can tolerate it,I like it,I dislike it,I like it,I dislike it,I expect it,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral
2025/05/13 1:27:08 下午 GMT+8,Student,Public transport,Maybe,Both,Frequently,I can tolerate it,I dislike it,I like it,I dislike it,I expect it,I dislike it,I dislike it,I am neutral,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it
2025/05/13 1:43:29 下午 GMT+8,Student,Drive myself,Yes,Both,Frequently,I expect it,I am neutral,I like it,I dislike it,I expect it,I am neutral,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it
2025/05/13 2:04:04 下午 GMT+8,Student,Drive myself;Carpool with friends;蹭车,Maybe,Both,Frequently,I like it,I expect it,I like it,I can tolerate it,I like it,I am neutral,I like it,I expect it,I like it,I am neutral,I like it,I am neutral,I like it,I expect it,I like it,I can tolerate it,I like it,I am neutral,I like it,I am neutral
2025/05/13 2:10:37 下午 GMT+8,Student,Carpool with friends;Public transport;E-Hailing,Yes,Both,Not applicable (I don't drive),I expect it,I can tolerate it,I like it,I can tolerate it,I am neutral,I am neutral,I like it,I am neutral,I like it,I am neutral,I like it,I am neutral,I like it,I am neutral,I am neutral,I am neutral,I like it,I am neutral,I am neutral,I am neutral
2025/05/13 4:35:21 下午 GMT+8,Student,Drive myself,Maybe,Both,Frequently,I expect it,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I can tolerate it,I like it,I can tolerate it,I like it,I can tolerate it,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral
